#,Cadastral Code,X,Y,Name,Address,Property Owner,Land Use Purpose,Access into property,Parking space markings,Tenant Area (Sq.m),# of Tenant Parking,Public Area (Sq.m),# of Public Parking,Public parking price,Distance to Public Transport - Bus,Access to Public Transport - Bus,Distance to Public Transport Metro,Access to Public Transport Merto,Comment 
445,01.13.05.011.025,482063.243,4619873.2,Megaline,Rafael Agladze St. N 15,Megaron LLC,Retail,Yes,Marked,,,,185,Paid,within 400m,Good,within 800m,Good,"One hour is 2 GEL, each next hour is 2 GEL. (20:00-9:00) car-10 GEL, truck-20 GEL. Cost of monthly pass- 200 GEL"
446,01.13.05.004.255  01.13.05.004.209,481500,4620100,Ashendi,"Nadira Khosharauli St., N 25","""Ashendi Group"" LLC",Retail,Yes,Marked,,,,150,Paid,beyond 400m,-,beyond 800m,-,"One hour is 1 GEL, each next hour is 2 GEL. Parking for a truck is 5 GEL, for a trailer it's 50 GEL"
447,01.13.05.004.056,481282.9869,4620273.44,German Hospital,Cosmonauts bank N 45a,"""Tsintsadze and Company"" LLC",Hospital & Medical,Yes,Unmarked,290,11,,,Free,beyond 400m,-,beyond 800m,-,
448,01.13.05.004.153,481249.2655,4620293.059,Nearby German Hospital,"Cosmonauts bank, N 45b",Tbilisi Municipality,Other,Yes,Unmarked,,,1066,41,Free,beyond 400m,-,beyond 800m,-,
449,01.12.08.039.006,482005.739,4623810.687,Nikora XL,"The left bank of river Mtkvari, nearby turn of ksani st., (area. 39/006)","Joint Stock Company ""Tasi""",Retail,Yes,Unmarked,,,880,33,Free,beyond 400m,-,beyond 800m,-,
450,01.11.19.007.021,481906.5436,4624239.185,Greenway,"Evelina Tavadze St, N 2d","Joint Stock Company ""Greenway Georgia""",Service,Yes,Marked,,,,9,Free,beyond 400m,-,beyond 800m,-,
451,01.12.08.039.174,481961.9296,4624030.3,Lazy people,"Evelina Tavadze St, N 3a",Davit Tsaava,Entertainment & Recreation,Yes,Unmarked,,,1950,75,Free,beyond 400m,-,beyond 800m,-,
452,01.11.19.001.082 01.11.19.004.021 01.11.19.004.026   ,482550,4625600,GRC,"Evelina Tavadze St, N 38g","LLC ""Ji ar Si""",Retail,Yes,Marked,,30,,100,Free,beyond 400m,-,beyond 800m,-,Also 30 cars are allocated for employees
453,01.11.19.004.011,482738.6699,4625526.946,Autobani Peikrebi,"Evelina Tavadze St, N 38","""Auto-Bani 2000"" LLC",Service industry,Yes,Marked,,,,24,Free,beyond 400m,-,beyond 800m,-,For employees and store users. Half of the marked parking is outside the cadastre.
454,01.11.19.004.035,482675.7837,4625463.716,Market of Peikrebi,"Evelina Tavadze St, N 36","LLC ""Samta""",Service industry,Yes,Unmarked,,,2600,100,Paid,beyond 400m,-,beyond 800m,-,Entry is 2 GEL
455,01.11.19.005.030,482495.1674,4625165.794,GWP,"Evelina Tavadze St, N 30","""Georgian Water and Power"" LLC",Other,Yes,Marked,,100,,,Free,beyond 400m,-,beyond 800m,-,
456,01.12.01.008.014,482155.175,4624168.232,Limonta,"Ksani st., N 35",Modern Ltd,Retail,Yes,Unmarked,,,243,9,Free,beyond 400m,-,within 800m,Bad,
457,01.12.01.008.019,482263.1784,4624146.058,Teaching University Millennium,"Ksani st., N 35","LLC ""Caucasus Education Center""",Education,Yes,Unmarked,728,28,,,Free,beyond 400m,-,within 800m,Bad,
458,01.11.03.007.210,483105.4676,4629537.951,Nikora,"Libani St., N 21","Common property of apartment owners
""Unix Development"" LLC",Mixed-use,Yes,Marked,,,,27,Free,within 400m,Good,beyond 800m,-,
459,01.11.03.008.210,483109.0131,4629168.577,Olpimetal,"Libani St., N 6",TTC LLC,Retail,Yes,Marked,,,,8,Free,within 400m,Good,beyond 800m,-,
460,01.11.04.025.015,483226.7974,4627567.276,Near the Avchala Rugby Stadium,"Sarajishvili avenue, N 14a","LLC ""LG Glass""",Commercial,Yes,Unmarked,,,362,14,Free,within 400m,Good,beyond 800m,-,
461,01.16.05.001.002,482923.144,4617360.978,Next to TBC Bank,"Kote Marjanishvili St, N 5/Dimitri Uznadze St, N 16-18","Joint Stock Company ""Printed Word Combine""",Mixed-use,Yes,Marked,,,,60,Paid,within 400m,Average,within 800m,Average,09:00-24:00 5 GEL 24:00-09:00 10 GEL
462,01.13.07.024.026,482424.2817,4618568.37,Georgian Film Development Fund,"Davit Aghmashenebeli avenue, N 164","""Georgian Film Development Fund"" LLC ""Aba and Company""",Other,Yes,Marked,,,,27,Free,within 400m,Bad,beyond 800m,-,Behind the German Embassy
463,01.13.08.004.064,482907.706,4618087.002,Sukhishvili yard,"Davit Aghmashenebeli avenue,",Tbilisi Municipality,Entertainment & Recreation,Yes,Unmarked,,,526,20,Free,within 400m,Good,within 800m,Good,
464,01.13.08.001.014,482569.1439,4618382.442,National Environment Agency,"Davit Aghmashenebeli avenue, N 150",co-ownership,Government/Police,Yes,Marked,,30,,,Free,within 400m,Good,beyond 800m,-,
465,01.13.08.001.066      01.13.08.001.006,482620,4618400,Real Invest,"Davit Aghmashenebeli avenue, N 150","Joint Stock Company ""Real Invest""",Commercial,Yes,Marked,,31,,,Free,within 400m,Good,beyond 800m,-,
466,01.13.08.001.102,482657.7775,4618371.892,Champions Academy,"Davit Aghmashenebeli avenue, N 148g","LLC ""Sports Science Georgia""",Commercial,Yes,Marked,,9,,,Free,within 400m,Good,beyond 800m,-,There is one parking lot in two cadastres. I could not enter. It is locked it with a barrier.
467,01.13.08.001.097,482607.0487,4618356.207,Champions Academy,"Davit Aghmashenebeli avenue, N 150 (area 1/41)","LLC ""PSP Pharma""",Commercial,Yes,Marked,,51,,,Free,within 400m,Good,beyond 800m,-,
468,01.13.08.001.091,482546.4105,4618454.33,Zonal parking lot A807,"Davit Aghmashenebeli avenue, N 154, in front of ( area 01/091)",Tbilisi Municipality,Other,Yes,Marked,,,,7,Paid,within 400m,Good,beyond 800m,-,Zonal parking lot A807
469,01.13.08.001.090,482578.4421,4618470.447,Zonal parking lot A808,"Davit Aghmashenebeli avenue, N 154, in front of  (area 01/090)",Tbilisi Municipality,Other,Yes,Marked,,,,7,Paid,within 400m,Good,beyond 800m,-,Zonal parking lot A808
470,A 810,482559.7297,4618469.816,Zonal parking lot A810,King Tamar Avenue,Tbilisi Municipality,Other,Yes,Marked,,,,17,Paid,within 400m,Good,beyond 800m,-,Zonal parking lot A810
471,01.13.05.008.020,481823.5722,4620148.274,Taha Plaza,"Nadira Khosharauli St, N 8/Aleksi Gogolauri St, N 25","Apartment owners.     LLC ""Taha 14""",Mixed-use,Yes,Marked,,,,240,Paid,within 400m,Bad,beyond 800m,-,1 hour 2 GEL. 170 GEL per month
472,01.13.06.008.013   01.13.06.008.080   01.13.06.008.015,482150,460270,telas,"Vani st, N3(area 8/13)","JSC ""Telasi"" State",Service,Yes,Marked,,58,,,Free,within 400m,Good,beyond 800m,-,The internal parking lot of Telas is divided into two cadastres. in the territory of the municipality.
473,01.13.03.051.014,481631.8588,4621997.077,Auto station,"Didube Metro Station, lower exit.","Ltd. ""Nige""",Other,Yes,Marked,,,,35,Paid,within 400m,Good,within 800m,Bad,"Parking is paid, the area is private property, two GEL for up to 30 minutes"
474,01.13.03.051.011,481643.1872,4622234.11,Didubi bus station,"Akaki Tseretli Avenue, N 153","Joint Stock Company ""Didubi Bus Station""",Other,Yes,Unmarked,,,1164,44,Paid,within 400m,Good,within 800m,Bad,"Three GEL payment in advance. From two to five hours five GEL, more than five hours 10 GEL"
475,01.13.03.051.108,481657.5032,4622315.876,Adjacent to Didubi bus station,"Karaleti st., N 4","Gela Jincharadze, Kakhaber Keshikashvili, Konstantine Chichinadze.",Other,Yes,Unmarked,,,962,37,Paid,within 400m,Good,within 800m,Bad,"The parking lot is paid from 9:00 am to 7:00 pm, the price is 3 GEL"
476,01.11.17.002.019,484656.7022,4625922.538,Auction of the National Agency of State Property,"Rezo Gabashvili St., N 73",State,Service,Yes,Unmarked,7280,280,,,Free,beyond 400m,-,beyond 800m,-,Auction area
477,01.72.14.009.623,481948.9816,4626913.762,Viktor Sanikidze Basketball Academy,"Bob Uolshi St., N 19",State,Entertainment & Recreation,Yes,Unmarked,,,2340,90,Free,beyond 400m,-,beyond 800m,-,
478,01.72.14.009.353,482091.6754,4626928.475,Olympic pool,Digomi Training and Experimental Farm,Tbilisi Municipality,Entertainment & Recreation,Yes,Unmarked,,,2210,85,Free,beyond 400m,-,beyond 800m,-,
479,01.72.14.009.559,482013.6259,4627050.887,Gymnastics arena,"Bob Uolshi St., N 23",Sportmshenservice Ltd,Entertainment & Recreation,Yes,Unmarked,,,10400,400,Free,beyond 400m,-,beyond 800m,-,
480,01.11.12.020.088,483424.3685,4626178.131,Restaurant Imperial,"Nearby Sarajishvili st., (area 20/088)",Tbilisi Municipality,Entertainment & Recreation,Yes,Unmarked,,,520,20,Free,within 400m,Bad,within 800m,Bad,used by the restaurant
481,01.72.14.007.507    01.72.14.007.490,481100,4628820,Schnoe Home,"Davit Aghmashenebeli alley, N 205",Ltd. shopping center Digomi 8,Retail,Yes,Marked,,,,20,Free,within 400m,Bad,beyond 800m,-,
482,01.72.14.006.539,480839.4123,4628544.791,Technical Center Bassa (Stadium),"Davit Aghmashenebeli alley, N 242",State,Entertainment & Recreation,Yes,Marked,,45,,,Free,within 400m,Average,beyond 800m,-,
483,01.72.14.014.747   01.72.14.014.358,480590,4627130,Ace Motors,"Catholic Abraham I Street, N 24","""Ace Motors Holding"" Ltd. Teona Abuladze",Service industry,Yes,Unmarked,,,780,30,Free,within 400m,Bad,beyond 800m,-,
484,01.72.14.200.010,480639.9741,4627063.704,Opposite Tuzmotors,"Catholic Abraham I Street: N 24, N17, N17a, N19, N21, N23, N25, N21a, N23a","Irakli Gamkrelidze
""Shin Digomi"" LLC
""Monolith Towers"" LLC",Other,Yes,Unmarked,,,5276,202,Free,within 400m,Bad,beyond 800m,-,(Vacant)
485,01.72.14.034.741,480744.2321,4625841.956,Mate Motors,"Davit Aghmashenebeli alley, N 174",Gela Barkalaya,Service industry,Yes,Unmarked,,,3098,119,Free,within 400m,Bad,beyond 800m,-,
486,01.72.14.034.399,480790.0175,4625834.592,In front of Mate Motors,"David the Builder Alley, 11th kilometer",State,Other,Yes,Unmarked,,,275,10,Free,within 400m,Bad,beyond 800m,-,
487,01.72.14.034.966,480795.1748,4625859.573,In front of Mate Motors,"Alley David the Builder, Perdobi 3 (plot 34/561)",Tbilisi Municipality,Other,Yes,Unmarked,,,465,17,Free,within 400m,Bad,beyond 800m,-,
488,01.72.14.034.772,480746.6958,4625908.448,Otto Motors,"Davit Aghmashenebeli alley,  N 176","LLC ""Ifkli""",Service industry,Yes,Marked,,,,12,Free,within 400m,Bad,beyond 800m,-,
489,01.72.14.055.194,480746.2055,4625949.836,Sharbat,"Davit Aghmashenebeli alley,  N 178","LLC ""Company 4 Ken""",Entertainment & Recreation,Yes,Unmarked,,,1452,55,Free,within 400m,Bad,beyond 800m,-,
490,01.72.14.034.590,480701.2,4624503.976,XL Nikora,"Davit Aghmashenebeli alley, N 62",Vasil Bolashvili,Hotel & Casino,Yes,Unmarked,,,1223,47,Free,within 400m,Bad,beyond 800m,-,
491,01.10.18.009.203     01.10.18.009.202,479700,4620700,112,"Mukhran Machavariani st., N 8",Tbilisi Municipality,Government/Police,Yes,Marked,,65,,,Free,within 400m,Good,beyond 800m,-,
492,01.10.11.001.246,480832.7478,4621830.07,Agrio Hub,"Marshal Gelovani Avenue, N22","""Agrohab"" LLC",Retail,Yes,Marked,,,,113,Free,within 400m,Good,beyond 800m,-,
493,01.10.11.001.181,480884.9346,4621847.372,In front of Agrio Hub,"Marshal Gelovani Avenue, Slope 3, (Plot 01/181)",Tbilisi Municipality,Other,Yes,Marked,,,,17,Free,within 400m,Good,beyond 800m,-,
494,01.10.10.022.225  01.10.10.022.057   01.10.10.022.008,480820,4621980,"bricorama,","Lilac St., N 1",Teimuraz Dolidze,Retail,Yes,Marked,,,,70,Free,within 400m,Good,beyond 800m,-,
495,01.10.10.022.344  01.10.10.022.346   01.10.10.022.347  01.10.10.022.151  01.10.10.022.217  01.10.10.022.115,480800,4622300,"Ministry of Environment Protection and Agriculture of Georgia
","Marshal Gelovani Avenue, N 34",State,Government/Police,No,Marked,,300,,,Free,within 400m,Good,beyond 800m,-,
496,01.10.10.006.021,480696.5513,4622854.469,container,"Marshal Gelovani Avenue, N 54","""Mia"" LLC ""Otar Bregvadze and Company"" LLC",Retail,Yes,Marked,,,,60,Free,within 400m,Bad,beyond 800m,-,
497,01.11.19.002.007,482879.6681,4625894.481,Jibe,"tengiz sheshelidze Str, N 7","""Nova Invest"" LLC",Retail,Yes,Marked,,,,100,Free,within 400m,Bad,within 800m,Bad,
498,01.10.18.011.057    01.10.18.011.020,479025,4620470,Near Liss Lake Circle,Near the Nutsubidze-Vashlijvri Connecting Road,New Way Ltd,Mixed-use,Yes,Marked,,,,50,Free,within 400m,Bad,beyond 800m,-,
499,01.14.03.039.015,477662.9087,4618954.138,Lechkombinat,"Petre Kavtaradze St., N 23","Joint Stock Company ""Mega-Lab"" LLC ""Center of Medicine of the Caucasus""",Hospital & Medical,Yes,Marked,,,,66,Free,within 400m,Good,within 800m,Good,
500,01.14.03.039.015,477662.9087,4618954.138,Lechkombinat,"Petre Kavtaradze St., N 23","Joint Stock Company ""Mega-Lab"" LLC ""Center of Medicine of the Caucasus""",Hospital & Medical,Yes,Unmarked,,,728,28,Free,within 400m,Good,within 800m,Good,
501,01.14.03.039.015,477662.9087,4618954.138,Mega good,"Petre Kavtaradze St., N 23","Joint Stock Company ""Mega-Lab"" LLC ""Center of Medicine of the Caucasus""",Hospital & Medical,Yes,Marked,,,,14,Free,within 400m,Good,within 800m,Good,
502,01.14.01.001.028,476863.265,4620153.804,Uranium,"Avto Varazi st., I Dead End, N 1","LLC ""Medical Center Urant""",Hospital & Medical,Yes,Unmarked,,,208,8,Free,within 400m,Average,beyond 800m,-,
503,01.14.01.001.054,476541.7116,4620443.237,Rugby team (kochebi),Avto Varazi st. N 26,"AAP ""Georgian Rugby Union""",Entertainment & Recreation,Yes,Unmarked,,,4462,171,Free,within 400m,Average,beyond 800m,-,
504,72.16.17.986,76500,4621500,Hippodrome,Lisi,"LLC ""Tbilisi Hippodrome Service""",Entertainment & Recreation,Yes,Unmarked,,,9490,365,Free,within 400m,Average,beyond 800m,-,
505,01.14.16.009.399,476894.7011,4621092.772,Near Millennium School,"Near Farmer Street, N. 109",Tbilisi Municipality,Education,Yes,Marked,,,,15,Free,within 400m,Good,beyond 800m,-,
506,72.16.21.940,477050,4621350,British-Georgian Academy,"Nearby Lisi Lake; city Tbilisi, village Lisi.","""British International School of Tbilisi"" LLC",Education,Yes,Unmarked,,,3900,150,Free,within 400m,Bad,beyond 800m,-,
507,72.16.21.654,476975,4621200,In front of the British-Georgian Academy,Lisi Lake area,Tbilisi Municipality,Other,Yes,Marked,,,,25,Free,within 400m,Bad,beyond 800m,-,
508,01.14.16.015.291,478387.954,4620620.828,Radiation Medicine Center,"Levan Charkviani St., N 6","LLC ""Radiation Medicine Center""",Hospital & Medical,Yes,Marked,,,,35,Free,within 400m,Good,beyond 800m,-,
509,01.14.16.012.081,478102.3518,4620559.023,universaluri samedino centers,"Levan Charkviani St., N 10","Joint Stock Company ""Universal Medical Center""",Hospital & Medical,Yes,Unmarked,,,1820,70,Free,within 400m,Average,beyond 800m,-,
510,01.14.16.012.085,478269.9059,4620549.805,in front of Mardaleishvili Medical Center,"Levan Charkviani St., N 10","Joint Stock Company ""Universal Medical Center""",Hospital & Medical,Yes,Unmarked,,,598,23,Free,within 400m,Average,beyond 800m,-,
511,01.14.17.001.245,478537.8471,4621341.587,Lis Lake,"Near Lisi Lake, on the right side of the road leading to Lisi Village, (area 01/014).","Joint Stock Company ""Lissey Lake Development""",Entertainment & Recreation,Yes,Marked,,,,150,Paid,within 400m,Average,beyond 800m,-,"Up to 1 hour 3.5 GEL, next hour 1 GEL"
512,01.14.17.001.102,478342.4216,4621074.63,Lis Lake,"Near Lisi Lake, on the right side of the road leading to Lisi Village, (area 01/014)","Joint Stock Company ""Lissey Lake Development""",Entertainment & Recreation,Yes,Marked,,,,93,Paid,beyond 400m,-,beyond 800m,-,"Up to 1 hour 3.5 GEL, next hour 1 GEL"
513,01.10.13.039.016,482096.5471,4618475.615,Georgian-American University,"Merab Aleksidze st., N 10","""Georgian-American University"" LLC",Education,Yes,Marked,,65,,,Free,within 400m,Bad,beyond 800m,-,
514,01.10.13.040.088,482069.4795,4618377.425,Nikora,"Merab Aleksidze st., N 13","Co-owners of apartment units.     ""Leader Group"" LLC",Mixed-use,Yes,Marked,,,,23,Free,within 400m,Bad,within 800m,Bad,"It also has an underground parking, which we could not enter"
515,01.10.13.039.035,482140.9746,4618347.187,King David,"Merab Aleksidze st., N 12","Company ""Reside Holding Giembiech""",Mixed-use,Yes,Marked,,,,18,Paid,within 400m,Bad,beyond 800m,-,"0-60 minutes 3 GEL. The next hour is 2 GEL, and each subsequent hour is 1 GEL. (4-deck parking lot, 72 cars)"
516,01.10.13.039.035,482140.9746,4618347.187,King David,"Merab Aleksidze st., N 12","Company ""Reside Holding Giembiech""",Mixed-use,Yes,Marked,,229,,,Free,within 400m,Bad,beyond 800m,-,"Parking is intended for residents, employees and guests. (There was also a 2 deck parking lot, 69 cars which is not included in 229 (totaly 298) ."
517,01.10.13.033.100,481792.6112,4618674.897,Inoffice,"Bidzina Kvernadze st, N 10","LLC ""Business Center on Kostava""",Commercial,Yes,Marked,,96,,,Free,within 400m,Bad,within 800m,Bad,
518,01.10.10.025.434,480872.0115,4622514.723,Wissol,"Marshal Gelovani Avenue, near the Police Department.","Joint Stock Company ""Visol Petroleum Georgia""",Other,Yes,Marked,,,,6,Free,within 400m,Bad,beyond 800m,-,
519,01.10.10.006.013,480874.3803,4622637.634,Police,"Korneli Chaladze St., N 2","State.    LLC ""Asset Management and Development Company""",Government/Police,Yes,Unmarked,442,17,,,Free,within 400m,Bad,beyond 800m,-,
520,01.10.10.006.013,480874.3803,4622637.634,Police,"Korneli Chaladze St., N 2","State.    LLC ""Asset Management and Development Company""",Government/Police,Yes,Marked,,32,,,Free,within 400m,Bad,beyond 800m,-,
521,01.13.04.004.025,480834.6588,4622883.067,Megruli Oda,"Marshal Gelovani Avenue, N 49",Giga Kvaratskhelia,Entertainment & Recreation,Yes,Unmarked,,,516,19,Free,within 400m,Bad,beyond 800m,-,
522,01.13.04.016.004,481406.9492,4622436.68,St. George's Church,"Jemal Chkuaseli St., N 1",Patriarchate of Georgia,Other,Yes,Marked,,,,10,Free,within 400m,Bad,within 800m,Bad,"3 parking spaces are included in the cadastre, the remaining parking spaces are not registered."
523,01.13.03.010.133,481550.589,4622479.752,Restaurant Old Town,"Massive Dighomi, Quarter III, opposite N 6g.","LLC ""Mtkvarispiri""",Entertainment & Recreation,Yes,Unmarked,,,433,16,Free,within 400m,Bad,beyond 800m,-,
524,01.13.03.050.004,481497.5365,4622546.47,board,"Akaki Beliashvili st., N 1",Tbilisi Municipality,Government/Police,Yes,Unmarked,1320,50,,,Free,within 400m,Good,within 800m,Bad,
525,01.13.03.010.031,481766.097,4623196.403,Gastronomist,"Akaki Beliashvili st., N 27a",Eliko Beriashvili,Entertainment & Recreation,Yes,Unmarked,,,446,17,Free,within 400m,Bad,beyond 800m,-,
526,01.13.03.010.178,481789.4828,4623197.225,Near the gastronomie,"Akaki Beliashvili st., N 27b",State,Other,Yes,Unmarked,,,1300,50,Free,within 400m,Bad,beyond 800m,-,
527,01.13.02.008.145   01.13.02.008.195,481760,4623910,Restaurant Mukhambazi,"Akaki Beliashvili st., N 73","LLC ""Mukhambazi""",Entertainment & Recreation,Yes,Unmarked,,,1040,40,Free,within 400m,Bad,beyond 800m,-,
528,01.13.03.010.200,481804.9143,4623376.31,Lion Auto Auction,"Akaki Beliashvili st., N 43a","LLC ""Mega Plaza""",Commercial,Yes,Unmarked,,,785,30,Free,within 400m,Bad,beyond 800m,-,
529,01.13.02.008.004,481739.8991,4624022.066,The restaurant is Kerry,"Akaki Beliashvili st., N 79","LLC ""M and Co - 07""",Entertainment & Recreation,Yes,Marked,,,,7,Free,within 400m,Bad,beyond 800m,-,"as well,18 cars stand in front of the restaurant On the sidewalk, which is owned by the municipality "
530,01.13.02.008.116,481719.9428,4624098.929,Restaurant Cruise,"Akaki Beliashvili st., N 81","LLC ""Hotel Cruise""",Entertainment & Recreation,Yes,Unmarked,,,650,25,Free,within 400m,Bad,beyond 800m,-,
531,01.13.02.008.096,481698.4931,4624152.405,Advanced medical technology and service,"Akaki Beliashvili st., N 83","LLC ""Advanced Medical Technologies and Service""",Hospital & Medical,Yes,Unmarked,,,262,10,Free,within 400m,Bad,beyond 800m,-,
532,01.13.02.010.085,481583.9925,4624341.008,Restaurant in front of the mill,"Akaki Beliashvili st., N 68","B.M. Partnership ""Beliashvili 68""",Mixed-use,Yes,Marked,,,,60,Paid,within 400m,Good,beyond 800m,-,3 lari
533,01.13.02.008.181,481721.7251,4624525.8,Mtevani restaurant,"Akaki Beliashvili st., N 101g",Levan Silagadze,Entertainment & Recreation,Yes,Unmarked,,,214,8,Free,within 400m,Bad,beyond 800m,-,for restaurant customers
534,01.13.02.008.173   01.13.02.008.168    01.13.02.008.118,481770,4624670,Delphi ,"Akaki Beliashvili st., N 109, N 109a, N 109b.",Khvicha Kurtanidze. Lela Karkarashvili.  State,Service industry,Yes,Unmarked,,,702,27,Paid,within 400m,Bad,beyond 800m,-,"The parking area is in three cadastres, one belongs to the state.  Parking 10 GEL"
535,01.13.02.008.158,481869.9887,4624865.087,Carrefour,"Akaki Beliashvili st., N 117","""Master Okay"" LLC",Retail,Yes,Marked,,,,65,Paid,within 400m,Bad,beyond 800m,-,"45 minutes free, first one hour 2 GEL, each subsequent hour 1 GEL. 24 hours 7 GEL."
536,01.13.02.003.429  01.13.02.003.435,482000,4625260,hobby,"Akaki Beliashvili st., N 143, N 145g","""Hob Development"" LLC",Commercial,Yes,Marked,,,,160,Free,within 400m,Bad,beyond 800m,-,
537,01.13.02.003.383   01.13.02.003.427,481940,4625300,Thermal center,"Akaki Beliashvili st., N 141a, N145a",Business House Ltd,Commercial,Yes,Marked,,,,30,Free,within 400m,Bad,beyond 800m,-,
538,01.13.02.003.112,482005.2986,4625320.695,Georgian Foundation for Protest Orthopedic Rehabilitation,"Akaki Beliashvili st., N 143b","A.I.P. ""Georgian Foundation for Prosthetic Orthopedic Rehabilitation""",Hospital & Medical,Yes,Unmarked,,,366,14,Free,within 400m,Bad,beyond 800m,-,
539,01.13.02.003.385,481963.6865,4625332.068,Thermo Center website,"Akaki Beliashvili st., N 145b","LLC ""Skytel""",Commercial,Yes,Marked,,,,22,Free,within 400m,Bad,beyond 800m,-,
540,01.13.02.001.084    01.13.02.001.059,,,jeep center,"Akaki Beliashvili st., N 191","""Strada Motors"" LLC",Service industry,Yes,Unmarked,,,2912,112,Free,within 400m,Bad,beyond 800m,-,
541,01.13.02.001.062   01.13.02.001.076  01.13.02.001.020  01.13.02.001.113    01.13.02.001.009,481820,4626000,Fiat Center,"Akaki Beliashvili st., N 193a","Tamta Lomia, municipal manager of ""Renta"" LLC",Service industry,Yes,Unmarked,,,3016,116,Free,within 400m,Bad,beyond 800m,-,
542,01.13.02.001.018,481738.4921,4626093.706,Caucasus Auto Import,"Akaki Beliashvili st., N199","""Renta"" LLC",Service industry,Yes,Unmarked,,,1880,72,Free,within 400m,Bad,beyond 800m,-,
543,01.13.01.004.149,481622.582,4626089.05,Balanchine Plaza,"Akaki Beliashvili st., N 142","""Lilo Rental"" LLC",Retail,Yes,Marked,,,,140,Free,within 400m,Bad,beyond 800m,-,
544,01.13.01.004.177,481622.4236,4626021.169,Adjacent to Balanchine Plaza,"Akaki Beliashvili st., N 140","""Belo and Company"" LLC",Other,Yes,Marked,,,,143,Free,within 400m,Bad,beyond 800m,-,
545,01.13.01.004.117,481740.8761,4625894.458,Euro Master,"Akaki Beliashvili st., N 128","""Euromaster"" LLC",Service industry,Yes,Unmarked,,,1768,68,Paid,within 400m,Bad,beyond 800m,-,"3 hours 2 GEL, each next hour 1 GEL. 5 GEL for 24 hours. 100 GEL per month for corporate customers."
546,01.13.01.014.064,481907.9461,4625420.408,Greenway,"Nodar Bokhua St., N1",Dibeli Group Ltd.,Service,Yes,Marked,,,,12,Free,within 400m,Bad,beyond 800m,-,
547,01.13.02.009.013,481424.9764,4624564.8,Iashvili Clinic,"Lubliana St., N 13/Nino Javakhishvili St., N 6",co-ownership,Hospital & Medical,Yes,Marked,,,,164,Paid,within 400m,Good,beyond 800m,-,Entrance 2 GEL
548,01.13.02.009.013,481424.9764,4624564.8,Yard of Iashvili Clinic,"Lubliana St., N 13/Nino Javakhishvili St., N 6",co-ownership,Hospital & Medical,Yes,Unmarked,,,10249,394,Paid,within 400m,Good,beyond 800m,-,"The territory belongs to the iashvili clinic according to the cadastre, but upon entering the territory there are several clinics in front of which there are several paid parking lots. The price is 2 GEL. There is a large area of ​​greenery that is used as a parking lot."
549,01.13.02.007.076,481571.9405,4624723.626,Chafidze Heart Center,"Nino Javakhishvili St., N 1","LLC ""Emergency Cardiology Center named after Acad. G. Chafidze""",Hospital & Medical,Yes,Unmarked,,,2418,93,Paid,within 400m,Good,beyond 800m,-,Entrance 2 GEL
550,01.13.02.009.053,481381.9668,4624676.676,Gagua Clinic,"Nino Javakhishvili St., N 6a","LLC ""Gagua Clinic""",Hospital & Medical,Yes,Marked,,,,62,Paid,within 400m,Good,beyond 800m,-,Entrance fee is 3 GEL
551,01.13.02.006.018,481414.9261,4624838.484,Tbilisi Central Hospital,"Konstantine Chachava St., N 1",State,Hospital & Medical,Yes,Marked,,,,250,Paid,within 400m,Good,beyond 800m,-,One Hour 3 GEL. Each next hour is 1 GEL.
552,01.13.02.005.009,481376.951,4625040.04,Zarafkhana,"Lubliana st., N 15","LLC ""New Vision Development""",Other,Yes,Unmarked,4316,166,,,Free,within 400m,Good,beyond 800m,-,
553,01.13.01.008.058,481409.2308,4625664.631,Tsitsishvili children's clinic,"Givi Zhania St., N 3",Clinics of JSC Georgia,Hospital & Medical,Yes,Marked,,,,80,Paid,within 400m,Good,beyond 800m,-,Entrance fee is 3 GEL. 
554, 01.13.01.008.006,481270,4625790,Joe Ann University Hospital,"Givi Zhania St.,  N 17",A.I.P. Joe Ann University Hospital,Hospital & Medical,Yes,Marked,,,,72,Free,within 400m,Good,beyond 800m,-,1 hour 5 GEL. With a Cohen Clinic check  free 
555,01.13.01.008.027 ,481260,4625750,Joe Ann University Hospital,"Givi Zhania St.,  N 17d","State                                                                    Joint Stock Company ""Medical Corporation Evex""",Hospital & Medical,Yes,Marked,,,,11,Free,within 400m,Good,beyond 800m,-,
556,01.13.01.007.090,481333.1562,4625589.936,Todua Clinic,"Lubliana St., N 21, N 21a, and nearby N 21","""British Center"" LLC",Hospital & Medical,Yes,Unmarked,1248,48,,,Free,within 400m,Good,beyond 800m,-,
557,01.14.04.005.004,477001.665,4619161.74,Madison,"Vazha Pshavela avenue, N 83/11","State LLC ""Bildex"" LLC ""Edem""",Hospital & Medical,Yes,Marked,,25,,42,Free,within 400m,Good,within 800m,Good,"There was a marked parking lot, but cars were also parked on the lawn."
558,01.14.05.007.154,476439.9792,4618995.351,Fresco,"Zurab Anjafaridze St., N 32","LLC ""Fresco Shopping Center""",Retail,Yes,Marked,,,,51,Paid,within 400m,Good,within 800m,Good,"15 minutes free, 1.5 hour free for purchase of 5 GEL, then 5 GEL"
