#,Cadastral Code,X,Y,Name,Address,Property Owner,Land Use Purpose,Access into property,Parking space markings,Tenant Area (Sq.m),# of Tenant Parking,Public Area (Sq.m),# of Public Parking,Public parking price,Distance to Public Transport - Bus,Access to Public Transport - Bus,Distance to Public Transport Metro,Access to Public Transport Merto,Comment 
267,01.12.03.002.001,483671.9392,4625277.201,Universami,"Ureki St., N 15","30 co-owners, including the state",Retail,Yes,Unmarked,,,1700,65,Free,within 400m,Good,beyond 800m,-,
268,01.12.04.001.221,484345.9868,4624640.141,Camillians Medical Center,"414th Division Street, Anapi, N 59",Branch of the Order of Clergy Serving the Sick (Camillians) in Georgia,Hospital & Medical,Yes,Marked,,,,50,Free,within 400m,Good,beyond 800m,-,
269,01.12.04.001.045,484164.5371,4624809.223,Private pediatric clinic,"414th Division Street, Anapi, N 53",Tbilisi Pediatric Private Clinic LLC,Hospital & Medical,Yes,Unmarked,,,780,30,Free,within 400m,Good,beyond 800m,-,
270,01.12.02.014.130,484350.4108,4625331.216,Seaside Park,"Settlement of the sea area, XI micro/district, nearby I-quarter.",Tbilisi Municipality,Entertainment & Recreation,Yes,Marked,,,,37,Free,within 400m,Bad,beyond 800m,-,
271,01.12.02.001.073,483389.7847,4625810.404,Near by Sarajishvili metro area,"Davit Guramishvili Ave, N 53","LLC ""Vita""",Retail,Yes,Unmarked,,,1950,75,Paid,within 400m,Good,within 800m,Good,Entry is 2 GEL
272,01.12.02.023.059         01.12.02.023.047,484770,4624690,Gldani Nazaladevi complex sports center,"Sea area, XI micro/district, II quarter, nearby building N28.",Tbilisi Municipality,Entertainment & Recreation,Yes,Marked,,,,28,Paid,within 400m,Good,beyond 800m,-,Municipal Parking
273,01.12.02.026.028,485072.5524,4624506.947,Security Police,"Settlement of the sea area, XI micro/district, III quarter, building 45a",State,Government/Police,Yes,Unmarked,2950,113,,,Free,within 400m,Bad,beyond 800m,-,
274,72.13.41.519,486700,4623500,Restaurant Caravela,"Nugzar Shanava St., N 24",Argest Ltd,Entertainment & Recreation,Yes,Unmarked,,,330,12,Free,beyond 400m,-,beyond 800m,-,
275,72.13.40.427,486200,4623800,Georgian Water and Power,"Nugzar Shanava St., N 14","""Georgian Water and Power"" LLC",Other,No,Unmarked,1300,50,,,Free,beyond 400m,-,beyond 800m,-,
276,01.12.05.001.115,485328.5512,4624362.083,College of Railway Transport,"414th Division Street, Anapi, N 65",State,Education,Yes,Unmarked,,,1560,60,Free,within 400m,Good,beyond 800m,-,
277,01.12.05.001.004,485557.3991,4624502.446,Jibe,"Settlement of the sea area,  III micro/district, Isaakiani St. N1","Joint Stock Company ""Temka Puri""",Retail,Yes,Unmarked,,,4700,180,Free,within 400m,Bad,beyond 800m,-,
278,01.11.17.001.133 01.11.17.001.119,483650,4626000,Revenue Service,"Sarajishvili st., N 1, (area 01/133)",Tbilisi Municipality,Government/Police,Yes,Unmarked,,,910,35,Free,within 400m,Good,within 800m,Bad,
279,01.11.17.001.155,484208.2849,4626321.152,Tegeta Motors,"Tengiz Sheshelidze St, N 45",Tegeta Motors LLC,Service,Yes,Marked,,8,,,Free,beyond 400m,-,within 800m,Bad,
280,01.11.17.004.295,485317.6109,4625321.443,Police,"Levan Rcheulishvili St, N 1",State,Government/Police,Yes,Marked,,,,11,Free,within 400m,Good,beyond 800m,-,
281,01.11.17.005.159,485524.7732,4625648.118,drug rehabilitation center,"Gobronidze st., N 27",Tbilisi Municipality,Hospital & Medical,Yes,Marked,,,,60,Paid,within 400m,Good,beyond 800m,-,Entry is 2 GEL
282,01.11.12.023.022,484570.3593,4626417.462,City Mall Gldani,"Ilia Vekua St., N 1","""IG Development Georgia"" LLC",Retail,Yes,Marked,,,,500,Paid,within 400m,Good,within 800m,Good,Reconstruction was underway. Parking is free at this stage (usually paid)
283,01.11.13.002.157,484978.5683,4626280.891,Fresco,"Aleksi Gobronidze St, N 18","LLC ""Fresco Trade House""",Retail,Yes,Marked,,,,50,Paid,within 400m,Average,within 800m,Average,"15 minutes free, 1.5 hour free for purchase of 5 GEL, then 3 GEL"
